,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,number,lastmod,documents,creators,type,title,refereed,date_type,subjects,abstract,volume,date,uri,related_url,divisions,publisher,publication,dir,issn,full_text_status,status_changed,ispublished,rev_number,isbn
0,2017-07-12 04:30:22,archive,3623,show,25-33,940,1.0,2017-07-12 04:30:22,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '6. jurnal Tanah Pembentukan Desa_2007.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '9ff1d6708b0ca1c97f81a8d2843244a6', 'datasetid': 'document', 'fileid': 25330, 'mtime': '2017-07-03 03:37:45', 'hash_type': 'MD5', 'filename': '6. jurnal Tanah Pembentukan Desa_2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25330', 'objectid': 3481, 'filesize': 767321}], 'docid': 3481, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3481', 'security': 'public', 'placement': 1, 'eprintid': 3623}]","[{'name': {'family': 'FX', 'lineage': None, 'honourific': None, 'given': 'Sumarja'}}]",article,Status tanah Dalam Pembentukan Desa,TRUE,published,['K1'],"Penelitian ini bertujuan untuk mengetahui pengaturan status tanah dalam rangka pembentukan desa, kewenangan Pemerintah Daerah dalam pembentukan desa, arti penting ststus tanah dalam pembentukan sebuah desa,  dan kebijakan Pemerintah Daerah Kabupaten/Kota di Provinsi Lampung dalam pembentukan desa terkait dengan status tanahnya. Hasil analisis menunjukkan bahwa Pemerintah Kabupaten/Kota mempunyai kewenangan untuk melakukan pembentukan desa yang harus dituangkan dalam Peraturan Daerah. Status tanah tidak mendapatkan pengaturan secara tegas dalam peraturan perundang-undangan. 

Kata Kunci: Pembentukan Desa, Status tanah",1.0,2007-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3623,"[{'url': 'http://repository.lppm.unila.ac.id', 'type': 'org'}]",['FH3'],Fakultas Hukum,Fiat Justicia,disk0/00/00/36/23,1978-5186,public,2017-07-12 04:30:22,pub,6,
1,2017-11-07 07:32:15,archive,3852,show,3-13,786,1.0,2017-11-07 07:32:15,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3714', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3852, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Nunung (Jurnal) Yin YAng.pdf', 'files': [{'fileid': 27005, 'datasetid': 'document', 'hash': 'f9dce1315b9dfdb9706b526e07127c9a', 'mime_type': 'application/pdf', 'filesize': 834146, 'objectid': 3714, 'uri': 'http://repository.lppm.unila.ac.id/id/file/27005', 'filename': 'Nunung (Jurnal) Yin YAng.pdf', 'hash_type': 'MD5', 'mtime': '2017-08-21 03:01:02'}], 'docid': 3714, 'format': 'text'}]","[{'name': {'given': 'Nunung', 'honourific': None, 'family': 'Nunung Rodliyah', 'lineage': None}}]",article,Poligami Dalam Al-Qur'an : Sebuah Kajian Hermeneutik,FALSE,,['K1'],,2.0,1970-01-01 00:00:00.000002007,http://repository.lppm.unila.ac.id/id/eprint/3852,,['FH3'],Sekolah Tinggi Agama Islam Negeri (STAIN) Purwokerto,Yin Yang,disk0/00/00/38/52,1907-2791,public,2017-11-07 07:32:15,pub,6,
2,2017-09-04 02:00:23,archive,3847,show,,987,,2017-09-04 02:00:23,"[{'main': 'Wahyu.Ketentuan-ketentuan Pokok Hukum Perlindungan Konsumen.pdf', 'docid': 3709, 'files': [{'fileid': 26973, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '83a8cd64ddc0343336a3751d22f5af60', 'objectid': 3709, 'filesize': 89942576, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26973', 'filename': 'Wahyu.Ketentuan-ketentuan Pokok Hukum Perlindungan Konsumen.pdf', 'hash_type': 'MD5', 'mtime': '2017-08-21 02:17:49'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 3847, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3709', 'security': 'public'}]","[{'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Wahyu Sasongko', 'honourific': None}}]",book,Ketentuan-Ketentuan Pokok Hukum Perlindungan Konsumen,FALSE,,['K1'],,,1970-01-01 00:00:00.000002007,http://repository.lppm.unila.ac.id/id/eprint/3847,,['FH3'],Universitas Lampung,,disk0/00/00/38/47,,public,2017-09-04 02:00:23,pub,7,978-979-1165-43-3
