,type,creators,title,place_of_pub,id_number,eprintid,eprint_status,datestamp,metadata_visibility,userid,documents,lastmod,official_url,publisher,divisions,dir,related_url,status_changed,full_text_status,rev_number,ispublished,subjects,abstract,date,uri,date_type
0,other,"[{'name': {'given': 'Ribhan', 'lineage': None, 'family': 'Ribhan', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Nasrullah Yusuf', 'given': 'Nasrullah'}}]","PENGARUH MORAL KOGNITIF PADA KINERJA KEPERILAKUAN
DAN KINERJA HASIL TENAGA PENJUALAN",Jurnal Manajemen Teori dan Terapan,"Tahun 6. No. 1, April 2013",40454,archive,2022-03-24 02:21:51,show,404,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161768', 'security': 'public', 'placement': 1, 'eprintid': 40454, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '12.JURNAL RIBHAN NASRULLAH.pdf', 'docid': 161768, 'files': [{'datasetid': 'document', 'fileid': 451073, 'hash': 'b248218e6bf5e37049a486c5dc4e6569', 'mime_type': 'application/pdf', 'filesize': 278591, 'objectid': 161768, 'filename': '12.JURNAL RIBHAN NASRULLAH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/451073', 'hash_type': 'MD5', 'mtime': '2022-03-23 05:19:12'}], 'format': 'text'}]",2022-03-24 02:21:51,https://www.e-journal.unair.ac.id/JMTT/article/viewFile/2660/1931,Journal of Theory and Applied Management,['FEB6'],disk0/00/04/04/54,[{'url': 'https://sinta.kemdikbud.go.id/journals/detail?id=1302'}],2022-03-24 02:21:51,public,7,pub,['HB'],"Abstract
Ethical decision making has become a critical issue as the pressure to improve the behavior of successful salespeople in all the current economic conditions. The values contained in the employees will affect the decision making of individuals or employees that will have an impact on organizational performance. Moral or cognitive moral is at the core of the most ethical decision-making models in the marketing and management. This study examined the effect of cognitive moral behavioral performance and outcome performance of the sales force and influence behavioral performance in sales force outcome performance. By using simple linear regression method obtained results that the hypothesis that cognitive moral effect on behavioral performance of salespeople, singnifikan effect (b = -0.296; sig 0.000) supported. Hypothesis 2 is not supported, which suggests that moral considerations affect the outcome performance in this study were not significant (b = -0.122; sig .148). The next hypothesis states that behavioral performance positive influence on the outcome performance of the support (b = 0.217; sig 0.009). To obtain the results of an individual's performance is good and responsible, it must enhance or improve the behavior of decision-making is based on cognitive moral salespeople. Performance results of the sales force increased when the behavior of salespeople work better and responsible.
Keywords: moral cognitive, behavioral performance, outcome performance",2013-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40454,
1,other,"[{'name': {'honourific': None, 'family': 'Ribhan', 'lineage': None, 'given': 'Ribhan'}}, {'name': {'lineage': None, 'family': 'yusuf', 'honourific': None, 'given': 'nasrullah'}}]",Similarity_Pengaruh Moral Kognitif,,,40612,archive,2022-03-30 07:44:09,show,404,"[{'docid': 161976, 'main': 'Similarity_Pengaruh Moral Kognitif.pdf', 'files': [{'datasetid': 'document', 'fileid': 452337, 'hash': '0ba6b780272565d744cb2184129f1ed7', 'mime_type': 'application/pdf', 'filesize': 2851682, 'objectid': 161976, 'filename': 'Similarity_Pengaruh Moral Kognitif.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452337', 'hash_type': 'MD5', 'mtime': '2022-03-28 08:00:57'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 40612, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161976', 'pos': 1, 'security': 'public'}]",2022-03-30 07:44:10,"https://www.e-journal.unair.ac.id/JMTT/article/viewFile/2660/1931, https://sinta.kemdikbud.go.id/journals/detail?id=1302",Jurnal Manajemen Teori dan Terapan| Journal of Theory and Applied Management,['FEB6'],disk0/00/04/06/12,,2022-03-30 07:44:09,public,9,pub,['H1'],,1970-01-01 00:00:00.000002013,http://repository.lppm.unila.ac.id/id/eprint/40612,published
