,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,title,refereed,type,creators,date_type,subjects,date,uri,abstract,publication,publisher,dir,divisions,rev_number,ispublished,full_text_status,issn,status_changed
0,show,2020-02-05 04:08:17,archive,17891,2020-02-05 04:08:17,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-02-05 03:17:25', 'objectid': 31017, 'filesize': 4760185, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150683', 'filename': '11. Similarity Dr. Ari D Jender_Dalam_Politik_Partai.pdf', 'datasetid': 'document', 'fileid': 150683, 'mime_type': 'application/pdf', 'hash': 'daa4ba4988c54a9e4ffc6a847bdf134d'}], 'main': '11. Similarity Dr. Ari D Jender_Dalam_Politik_Partai.pdf', 'docid': 31017, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31017', 'pos': 1, 'eprintid': 17891, 'placement': 1}]",880,Jender dalam politi partai partai: studi tentang pengarustamaan jender dalam politik partai-partai di provinsi lampung,TRUE,article,"[{'name': {'given': 'Ari', 'honourific': None, 'family': 'Darmastuti', 'lineage': None}}]",published,['AC'],2008,http://repository.lppm.unila.ac.id/id/eprint/17891,Similarity,Jurnal Sains dan Teknologi Lampung,Bappeda Provinsi Lampung,disk0/00/01/78/91,['FISIP3'],7,pub,public,1829-9296,2020-02-05 04:08:17
1,show,2020-02-05 04:07:36,archive,17890,2020-05-15 07:31:32,"[{'eprintid': 17890, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32953', 'pos': 1, 'format': 'text', 'docid': 32953, 'main': '11. Ari D Reviewer Jender Dalam Politik.pdf', 'files': [{'filename': '11. Ari D Reviewer Jender Dalam Politik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/185925', 'objectid': 32953, 'filesize': 675629, 'mtime': '2020-05-15 07:31:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'ca74079bf853f408b8e7609087932235', 'datasetid': 'document', 'fileid': 185925}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",880,Jender dalam politi partai partai: studi tentang pengarustamaan jender dalam politik partai-partai di provinsi lampung.,TRUE,article,"[{'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}]",published,['AC'],2008,http://repository.lppm.unila.ac.id/id/eprint/17890,Hasil Penilaian Sejawat Sebidang Atau Hasil Peer Review Karya Ilmiah: Jurnal Nasional Tak Akreditasi,Jurnal Sains dan Teknologi Lampung,Bappeda Provinsi Lampung,disk0/00/01/78/90,['FISIP3'],7,pub,public,1829-9296,2020-02-05 04:07:36
